date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,theta_1,wd,lw_in,t_avg,G,lw_out,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2014-03-03,58.22787270833334,0.13954378858367344,,,152.6611607655,,,,,,182.4334372708333,,-20.57274625,,,,,-31.58116,-13.50618,,,,,,,189.68086697603192,,,1.161852791506586,0.8606942353714967,,3.0673997950703296,0.8606942353714967,,,,0.10394815910357844,0.7,0.5,0.0,,0.20789631820715687,0.10394815910357844,True,0.10394815910357844
2014-03-04,,,,,,,,,,,,,,,,,,-13.86215,-8.360969,,,,,,,192.03821335484773,,,1.1749691916317393,0.8510861451705378,,4.349365287272109,0.8510861451705378,,,,0.15314541679380805,0.90000004,0.7,0.0,,0.2187791668482972,0.15314541679380805,True,0.15314541679380805
2014-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,194.40773488321983,,,1.1865891362408079,0.8427516900820998,,5.217963521922889,0.8427516900820998,,,,0.18372961239155006,1.1,0.8,0.0,,0.2296620154894375,0.18372961239155006,True,0.18372961239155006
2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,196.78856002301103,,,1.2011181047607122,0.8325575944916931,,6.831529822989923,0.8325575944916931,,,,0.24054486413057785,1.4,1.0,0.0,,0.24054486413057785,0.24054486413057785,True,0.24054486413057785
2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,199.17981186392402,,,1.2121067820304998,0.8250098215974154,,6.426545004842818,0.8250098215974154,,,,0.22628495155165484,1.2,0.90000004,0.0,,0.25142771277171816,0.22628495155165484,True,0.22628495155165484
2014-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,201.5806088465676,,,1.2265509481786214,0.8152943026826237,,6.704712895733517,0.8152943026826237,,,,0.2360795157639951,1.2,0.90000004,0.0,,0.2623105614128585,0.2360795157639951,True,0.2360795157639951
2014-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,203.99006549015016,,,1.236050933416058,0.8090281500264015,,14.741636561022824,0.8090281500264015,,,,0.5190674791025977,2.8,1.9,0.0,,0.2731934100539988,0.5190674791025977,True,0.5190674791025977
2014-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,206.40729312322708,,,1.2481771096816507,0.8011683536281571,,19.362795612804398,0.8011683536281571,,,,0.6817830208683339,3.5,2.4,0.90000004,,0.28407625869513914,0.6817830208683339,True,0.6817830208683339
2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,208.83140061593608,,,1.248099380527073,0.8012182488045941,,10.052288311105777,0.8012182488045941,,,,0.3539509288035353,1.5,1.2,0.0,,0.29495910733627945,0.3539509288035353,True,0.3539509288035353
2014-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,211.2614951121576,,,1.2539561294561414,0.7974760651584472,,9.554580581158572,0.7974760651584472,,,,0.3364261515751618,1.4,1.1,0.0,,0.3058419559774198,0.3364261515751618,True,0.3364261515751618
