date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2015-05-08,90.34831250000002,1.3980788300141385,27.01003647916667,21.38227624999999,178.6760412499999,0.14098718340000002,10.028739840353623,1.2570916466141384,120.08421458333336,,2.7678960708333333,342.48166666666674,11.8361831875,,379.6908333333333,,273.0604717833333,8.203975999999999,16.258748999999998,0,48,1,0.46,48,2.2212472204532236,333.2604027890743,,,1.2976370145605471,0.7706315316064379,,7.401358467588329,0.7706315316064379,,35.049223099997306,,0.2585779251517488,1.8000001,1.8000001,0.0,,0.14365439488128295,0.2585779251517488,True,0.2585779251517488
2015-05-09,76.522375,1.5704687360249363,34.76485764583333,46.01606437499999,346.92691479166666,0.43030768579375,8.602276209807615,1.1401610502311863,213.72129166666664,,2.5276702458333333,305.11708333333337,13.143655541666668,,392.30708333333337,,57.66214208333332,6.520114,19.440802,0,48,0,0.0,48,4.180542967360185,334.74939435244187,,,1.2866668643844088,0.7772019531088482,,18.056986695299724,0.7772019531088482,,44.73079037793471,,0.6316372351041669,5.8,4.4,0.0,,0.14355391706912884,0.6316372351041669,True,0.6316372351041669
2015-05-10,85.9983125,1.416246180316394,,11.50650645833334,86.46723875000002,0.1993943493916667,9.471802252547004,1.2168518309247274,58.42797291666667,,3.1181944375,359.7679166666665,12.002605520833333,,376.30104166666644,,74.93361666666667,8.409767,15.138,0,48,12,8.17,48,1.4491384847194406,336.20678913370887,,,1.278958086431326,0.7818864516430697,,13.548021906050813,0.7818864516430697,,,,0.4733963495480166,4.4,3.3,14.3,,0.14345343925697476,0.4733963495480166,True,0.4733963495480166
2015-05-11,97.88372916666668,1.2014122801075788,,7.987068541666666,73.61333604166667,0.024972475500000004,9.047800317358718,1.1764398046075788,56.02185000000002,,4.807721854166667,355.27229166666666,9.571125000000002,,364.8770833333333,,199.4639647916666,6.6504,12.701,0,48,10,4.95,48,0.7819602089875913,337.63231195211387,,,1.2727335708688852,0.7857103975950821,,6.168165774608456,0.7857103975950821,,,,0.21502944216723094,1.4,1.5,1.6,,0.14335296144482065,0.21502944216723094,True,0.21502944216723094
2015-05-12,79.06472916666667,1.0688957641592978,45.36170322916666,37.20357645833332,282.9176141666667,0.25402192758958336,3.8380884272411135,0.8148738365697145,191.67565625,,4.026288552083334,305.6741666666667,7.6872645833333335,,359.7127083333333,,255.76604520833325,4.0082,12.741,0,48,17,0.35000000000000003,48,3.024077640414485,339.02569734201444,,,1.2588433453466967,0.7943800185277152,,13.996449513307896,0.7943800185277152,,57.1032782436282,,0.4870584443510662,4.8,3.4,0.0,,0.14325248363266654,0.4870584443510662,True,0.4870584443510662
2015-05-13,69.63920833333331,1.4572600129043944,56.94374995833334,35.37984562499999,335.79352000000006,0.5184189971708334,5.8397717351417855,0.9388410157335608,228.61727291666668,,3.893513579166668,312.4308333333332,11.907820833333338,,384.22687500000006,,113.45959791666668,4.9259,18.732,0,48,1,0.0,48,4.328628296878869,340.3866893029331,,,1.2509611599570658,0.7993853302642272,,20.8957470829344,0.7993853302642272,,71.2344195001818,,0.7300752296846134,7.1,5.1,0.0,,0.14315200582051246,0.7300752296846134,True,0.7300752296846134
2015-05-14,91.79765270833332,1.3185524381875422,,4.074246875,58.95219291666668,0.10846587651458334,9.497712684859632,1.2100865616729586,41.698987500000015,,3.1601765729166678,357.05124999999987,11.046860416666668,,370.22937500000006,,110.68176666666668,9.4068,12.283,0,48,34,20.17,48,0.8496502581596115,341.71504105514765,,,1.2414957213630022,0.8054800212296575,,9.014929139017994,0.8054800212296575,,,,0.3147133616183884,3.1000001,2.2,15.7,,0.14305152800835833,0.3147133616183884,True,0.3147133616183884
2015-05-15,91.275461875,1.6739744799622889,,16.523476249999998,219.01044604166668,0.162640195225,12.85969842814238,1.5113342847372888,171.8862291666666,,1.784809732916666,367.46,14.582604166666664,,398.0622916666668,,210.46287677083333,12.114,18.197,0,48,8,0.0,48,2.8474873284542754,343.0105148017932,,,1.2339650671427629,0.810395712672396,,14.691618711967434,0.810395712672396,,,,0.5146237950014404,4.2000003,3.6000001000000004,0.0,,0.14295105019620424,0.5146237950014404,True,0.5146237950014404
2015-05-16,93.89558333333332,2.1625808509637188,7.765880802083334,14.858843125000007,167.84241895833333,0.14512001607083336,17.033563837684156,2.0174608348928853,125.34467708333335,,3.2765543749999995,384.4760416666665,18.382625,,412.1141666666668,,104.21088125,13.267,23.468000000000004,0,48,3,3.9,48,2.385980745385526,344.272881498385,,,1.229898357730142,0.8130753193666878,,18.69119330467593,0.8130753193666878,,9.551244044810332,,0.6571126329666306,6.3,4.6,1.2,,0.14285057238405013,0.6571126329666306,True,0.6571126329666306
2015-05-17,92.451375,2.1425461452251477,,14.132930416666667,153.85968458333338,0.1612232799145833,16.664011194329785,1.9813228653105637,114.29055729166664,,6.2734877708333325,384.10125,18.261756250000012,,409.538125,,169.66579583333333,8.0913,22.262,0,48,13,2.83,48,1.2951626250558104,345.501920630587,,,1.2241919042204794,0.8168653922252193,,10.152290871469397,0.8168653922252193,,,,0.3568752364297401,3.1000001,2.5,12.1,,0.14275009457189602,0.3568752364297401,True,0.3568752364297401
2015-05-18,87.08889583333334,0.9216490015665604,21.983803708333333,11.216967291666668,136.41652562499996,0.12030178882291664,3.612614114182304,0.8013472127436434,106.64306604166669,,6.722822145833334,327.73729166666664,5.763464583333333,,346.29479166666664,,268.7041843,4.1475,7.6797,0,48,3,0.0,48,1.4280491022432242,346.69742000098336,,,1.2260340295311938,0.8156380458561792,,5.3388112384221404,0.8156380458561792,,26.95289144495073,,0.18544451605262616,1.7,1.3000001,0.0,,0.14264961675974192,0.18544451605262616,True,0.18544451605262616
2015-05-19,77.10414583333333,0.9952306479277856,50.11188356250001,,304.7702612083333,0.2568874823458334,2.3981141312972696,0.7383431655819517,177.9976627083333,,2.6882765562499995,284.66250000000014,6.527906250000001,,,,207.31607833333328,1.8348,12.241,5,48,7,0.0,48,3.0761342294763256,347.85917552552206,,,1.22374265827501,0.8171652701962698,,16.403628428747286,0.8171652701962698,,61.32404960194153,,0.5701965557903512,5.5,4.0,0.0,,0.1425491389475878,0.5701965557903512,True,0.5701965557903512
2015-05-20,67.53143749999998,1.2284326095835725,31.290037125,31.067732487499995,207.69924272916663,0.4767691852479167,2.6427347294889807,0.7516634243356558,100.795430625,,1.5572091958333327,304.0783333333333,9.512104166666667,,,,245.7261268125,2.9872,14.9,0,48,0,0.0,48,2.776827252791322,348.9869910402232,,,1.2207589406213202,0.8191625444832193,,14.302400743986885,0.8191625444832193,,38.19759257271678,,0.49857031397401796,4.2000003,3.5,0.0,,0.14244866113543372,0.49857031397401796,True,0.49857031397401796
2015-05-21,56.87295833333332,1.7304454970965126,71.50368303125,55.6984756,349.53653456458346,0.8899588209916667,4.128112126416686,0.8404866761048463,181.83877625000005,,3.1797606666666667,297.75250000000005,14.248327083333338,,,,263.24718708333336,5.2787,21.748,0,48,1,0.0,48,5.311849252180845,350.0806781186451,,,1.2128244912607051,0.8245216082011351,,23.577548507166373,0.8245216082011351,,86.72141799564251,,0.8256194632750218,8.1,5.8,0.0,,0.1423481833232796,0.8256194632750218,True,0.8256194632750218
2015-05-22,51.8418125,1.8972939968643117,,53.58604231875,334.1016254375,1.0224053484645832,4.833932857148965,0.8748886483997281,158.38891958333318,,1.1210226812500002,307.28520833333334,15.976777083333333,,,,154.99518367916662,6.8148,22.815,0,48,9,0.0,48,4.638227757295666,351.1400559005214,,,1.2036601356385297,0.8307993015565894,,18.655329894832736,0.8307993015565894,,,,0.6543394453511773,5.6,4.6,0.0,,0.1422477055111255,0.6543394453511773,True,0.6543394453511773
2015-05-23,63.68772916666669,1.9352565243454305,21.069182947916673,25.379334735416666,168.74482420833334,0.7830253406979167,8.797571581294818,1.152231183647514,80.82040816666667,,1.915434608333333,351.20854166666646,16.430364583333333,,,,129.67901185416667,8.0499,22.304,0,48,2,0.0,48,3.230975722135249,352.1649509318812,,,1.2030434075399037,0.8312252024595638,,14.58316825150158,0.8312252024595638,,25.347141647743307,,0.5117300339310199,5.1,3.6000001000000004,0.0,,0.14214722769897142,0.5117300339310199,True,0.5117300339310199
2015-05-24,90.29052291666667,1.7363888740922269,,6.1914635833333325,59.46513949416664,0.17137521505624997,13.350937192144455,1.565013659035977,39.99298158333333,,2.15490643125,381.8658333333333,15.262645833333332,,,,76.99136458333334,14.148,16.927,0,48,30,13.11,48,1.1434896188351935,353.15519701687276,,,1.1988668706586458,0.8341209724567746,,9.72611810173306,0.8341209724567746,,,,0.3409121997283616,3.4,2.4,18.5,,0.14204674988681731,0.3409121997283616,True,0.3409121997283616
